path,type,size,mode,uid,gid,mtime,scope,install_class,source,source_reference,sha256,notes
/etc/fsdb,file,17134,0700,0,0,469762985,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/fsdb,a24df6b7119fe698bf6112c26a79c484ca07bcc37f4f0f7c580764cc401c32c0,mode/uid/gid recovered from parent .contents
/etc/group,file,43,0644,0,0,661837292,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/group,20116024f530deed67cb8216daa3078b4a7b7c3db8f25a470abfb4c3053ae0e2,mode/uid/gid recovered from parent .contents
/etc/halt,file,643,0700,0,0,469762971,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/halt,15b281e159d1c5a0d062a207b90360f198b691d2b1b5911d40f15c41a3cca287,mode/uid/gid recovered from parent .contents
/etc/icheck,file,8612,4750,3,0,469762973,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/icheck,0fc9e277ca32b537eb52b456864c8c23f83151e6b81716c9a3c24c8cfae96a62,mode/uid/gid recovered from parent .contents
/etc/icpcntrl,file,9604,0500,0,0,469763324,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/icpcntrl,1559f29ddcd8f9f8f17d897a6db2fb50606e1feb8639cd56de19038a7a14387c,mode/uid/gid recovered from parent .contents
/etc/icpload,file,13212,0500,0,0,469763323,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/icpload,d4539be65632b77a39b2314b0ab1f035646d3de43e6b75318f826899158f967f,mode/uid/gid recovered from parent .contents
/etc/inittab,file,455,0664,0,0,534457626,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/inittab,f383b6520bc1fde907d4eb050650946ca1d2fee51d6758f5ab391e91962a1cc3,mode/uid/gid recovered from parent .contents
/etc/install,file,4489,0750,3,0,469762998,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/install,5747f6d47a34bc5ba893eaac02f82a94f6f21a32654b984d40e33958a3acb46b,mode/uid/gid recovered from parent .contents
/etc/kdb,file,8328,4700,0,0,469762981,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/kdb,54fdae50ed6f8410cb975420b97f03d6baa86bf1a4574f64f127267eb1ec827f,mode/uid/gid recovered from parent .contents
/etc/killall,file,10336,0700,0,0,469762996,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/killall,280e96b91afcfa23e6f020e90cd1f853c33d71797ca2b4b30a6d43e96aa46c2c,mode/uid/gid recovered from parent .contents
/etc/labelit,file,10878,4750,0,0,469762965,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/labelit,240d7fbaa0eb36db20f61556dcacbe34ecab9ec4de0cb9db760fb5ee62bf3e60,mode/uid/gid recovered from parent .contents
/etc/link,file,326,0700,0,0,469762974,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/link,b5915261df682f835592e6d3109e9ae2a3756ff4b202e42da888f12c3e596f13,mode/uid/gid recovered from parent .contents
/etc/login,file,18198,4751,0,0,469762856,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/login,cbd641164adf5533ecf397e69e6f029611e1ac618f33333e812398d0dc4fde83,mode/uid/gid recovered from parent .contents
/etc/makenewfs,file,4410,0000,0,0,462,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/makenewfs,5283540b80f0f1e1b64bf726662ba288408bd7811f6076490cad131f755a8aa7,mode/uid/gid recovered from parent .contents
/etc/makewhatis,file,672,0700,3,0,469763322,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/makewhatis,bc4343573bdd48dbb4edfc0c0061db4ff3cc0d6377087b02d8bbe986c44d035f,mode/uid/gid recovered from parent .contents
/etc/man.dbmgr,file,763,0700,0,0,534435226,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/man.dbmgr,76eb37e61b25327abb254acbbd04486fc84864553305e8507eb76091799dce11,mode/uid/gid recovered from parent .contents
/etc/mfs,file,411,0750,3,0,469762974,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/mfs,a860102e6c41a1bd0a61d92e1d430376c355fb40b71d92aadb40f2a85d7390be,mode/uid/gid recovered from parent .contents
/etc/mkfs,file,10678,0700,0,0,469762975,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/mkfs,88b10e665fd6628bb77f17b46fe97e939717b8bdbf9dbccafbd1eb95434b6ed7,mode/uid/gid recovered from parent .contents
/etc/mkmt,file,2644,0750,3,0,469762989,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/mkmt,3d22767927658476d1799a321b0a4b4b19abee50d925fb7c857c4a90ae27e233,mode/uid/gid recovered from parent .contents
/etc/mknod,file,6718,4751,0,0,469762976,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/mknod,93bc754e6bae9405525fb7aed99276a9cdbba5b5e3db4aefdaad52092ff061ae,mode/uid/gid recovered from parent .contents
/etc/mktape,file,7540,0700,0,0,469762976,common-installed-snapshot,base-dump-inventory,S8000-2.tar,etc/mktape,b4525372dcd45d217053b05301e4c030b3a7341bb5df5403fa7258d0dcaec6db,mode/uid/gid recovered from parent .contents
